"id","nome","categoria","ativo","criado_em","em_contrato","em_prestador"
"d6483df6-5365-442c-b2c3-ca011fa86302","Controlo de Pragas","standard","t","2026-06-07 08:29:34.552208+00","f","t"
"f1f6f7ba-c545-4d0f-be27-34cb46cf0ea0","Desentupimentos","standard","t","2026-06-07 08:29:34.757331+00","f","t"
"04154fb2-7e52-4fae-a76e-f54bb760df0f","Eletricista","standard","t","2026-06-07 08:29:34.888316+00","f","t"
"edac4c20-e0d6-4e10-ab1e-200283341325","Elevadores","standard","t","2026-06-07 08:29:35.021625+00","f","t"
"6c39eff8-6651-4f20-9438-e69facae66cc","Engenharia","standard","t","2026-06-07 08:29:35.141383+00","f","t"
"b810db87-f021-4c82-9cb8-be53632ef929","Extintores","standard","t","2026-06-07 08:29:35.266851+00","f","t"
"52e189ea-f4de-44ca-8399-3c75e2e4e44d","Fechaduras","standard","t","2026-06-07 08:29:35.383799+00","f","t"
"b37bbb90-12d8-405d-9ea1-ad839eee22d7","Inspeção Gás","standard","t","2026-06-07 08:29:35.506954+00","f","t"
"ea64e292-487c-4fd5-8422-a4d4e7534639","Janelas / Vidros","standard","t","2026-06-07 08:29:35.625337+00","f","t"
"e6465e3d-ce30-4fd2-9502-58b08b6ca0b3","Molas","standard","t","2026-06-07 08:29:35.99828+00","f","t"
"a1d74286-143e-4bb3-a0fe-fdc4aa536a16","Obras","standard","t","2026-06-07 08:29:36.123865+00","f","t"
"8b95510f-d3f8-45cd-8796-9a1f49fa6e08","Pesquisas","standard","t","2026-06-07 08:29:36.708763+00","f","t"
"352b6d88-46af-48c1-ae3c-87b90c452579","Portas","standard","t","2026-06-07 08:29:36.834146+00","f","t"
"04c107ca-e97e-4850-a27b-2a7b36a495c1","Portões","standard","t","2026-06-07 08:29:36.951962+00","f","t"
"6a1dc670-0a46-408f-80d9-247b8f3474f8","Serralharia","standard","t","2026-06-07 08:29:37.077161+00","f","t"
"d68e4959-b817-48c5-aa30-14f40bca8abd","Sistemas de Segurança","standard","t","2026-06-07 08:29:37.195464+00","f","t"
"5d033931-9870-431b-ba37-d5ca41dd44cd","Vídeo Porteiro","standard","t","2026-06-07 08:29:37.316733+00","f","t"
"9b27bffe-e572-4b9c-8af3-af4c6eec9c84","Gestão","standard","t","2026-06-08 11:28:53.081077+00","t","f"
"9bba3a34-f82f-4b57-bf07-b3d0f4ad809a","Limpeza","standard","t","2026-06-07 08:29:35.751528+00","t","t"
"68f9edfe-eace-4311-a4cb-f2552c7b5574","Manutenção","standard","t","2026-06-07 08:29:35.875441+00","t","t"
"2e3414d9-2f8c-4f2c-a9c1-bf83024278d9","Jardinagem","standard","t","2026-06-08 11:28:53.081077+00","t","f"
"c6d2246a-23a7-4fed-b775-7b0c792a87a4","Seguros","standard","t","2026-06-08 11:28:53.081077+00","t","f"
"9614f936-c5de-4ad7-9277-66b470137fde","Piscina","standard","t","2026-06-08 11:28:53.081077+00","t","f"
"3977286c-d5b6-4397-bb5b-9376a16b102e","Intercomunicadores","standard","t","2026-06-16 12:56:19.013884+00","f","t"
"7f22b0f5-a8c4-405b-9280-ad28b1ca1042","Canalizadores","standard","t","2026-06-16 12:56:19.013884+00","f","t"
"8900aa27-6b34-4c60-a16a-d1ca8be25323","Paineis Solares","standard","t","2026-06-16 12:56:19.013884+00","f","t"
"fcf5b9b9-6870-4d5c-a37e-9b8cefbb7786","Bombas de Água","standard","t","2026-06-16 12:56:19.013884+00","f","t"
